Car Code,Time Captured
ART40/24/006,2024-02-25T09:22:00.0
ART40/24/003,2024-02-25T08:52:56.147310
ART40/24/003,2024-02-25T08:52:58.165844
ART40/24/013,2024-02-25T09:17:15.846045
ART40/24/018,2024-02-25T09:17:33.228256
ART40/24/002,2024-02-25T09:20:42.693665
ART40/24/014,2024-02-25T09:20:55.742475
ART40/24/009,2024-02-25T09:21:52.143803
ART40/24/028,2024-02-25T09:27:57.659426
ART40/24/007,2024-02-25T09:33:38.359479
ART40/24/011,2024-02-25T09:34:07.259616
ART40/24/021,2024-02-25T09:36:14.571145
ART40/24/008,2024-02-25T09:41:26.758062
ART40/24/015,2024-02-25T09:42:14.280842
ART40/24/019,2024-02-25T09:42:37.157085
ART40/24/001,2024-02-25T09:42:52.547572
ART40/24/023,2024-02-25T09:43:11.416634
ART40/24/020,2024-02-25T09:45:30.531843
ART40/24/024,2024-02-25T09:45:59.049439
ART40/24/029,2024-02-25T09:47:12.681271
ART40/24/033,2024-02-25T09:47:24.013507
ART40/24/038,2024-02-25T09:48:07.914695
ART40/24/016,2024-02-25T09:48:27.191822
ART40/24/030,2024-02-25T09:48:53.391615
ART40/24/053,2024-02-25T09:49:06.227366
ART40/24/053,2024-02-25T09:49:13.041904
ART40/24/017,2024-02-25T09:49:42.239850
ART40/24/066,2024-02-25T09:57:20.634122
ART40/24/039,2024-02-25T09:57:52.636499
ART40/24/042,2024-02-25T09:58:35.602342
ART40/24/012,2024-02-25T09:58:59.201876
ART40/24/040,2024-02-25T09:59:16.302298
ART40/24/051,2024-02-25T09:59:48.090176
ART40/24/004,2024-02-25T10:00:22.277861
ART40/24/065,2024-02-25T10:03:19.624932
ART40/24/061,2024-02-25T10:04:01.445094
ART40/24/055,2024-02-25T10:04:17.271185
ART40/24/068,2024-02-25T10:04:39.981648
ART40/24/063,2024-02-25T10:04:56.113510
ART40/24/044,2024-02-25T10:05:23.407275
ART40/24/025,2024-02-25T10:05:43.097893
ART40/24/050,2024-02-25T10:05:59.553835
ART40/24/046,2024-02-25T10:06:39.283913
ART40/24/005,2024-02-25T10:06:47.468942
ART40/24/035,2024-02-25T10:06:50.727484
ART40/24/032,2024-02-25T10:07:00.983689
ART40/24/036,2024-02-25T10:07:17.933297
ART40/24/048,2024-02-25T10:07:24.178988
ART40/24/064,2024-02-25T10:07:48.078733
ART40/24/057,2024-02-25T10:08:06.324739
ART40/24/037,2024-02-25T10:08:28.775802
ART40/24/045,2024-02-25T10:12:09.299405
ART40/24/010,2024-02-25T10:14:48.741911
ART40/24/031,2024-02-25T10:15:28.332281
ART40/24/047,2024-02-25T10:15:49.110537
ART40/24/034,2024-02-25T10:24:33.451950
ART40/24/056,2024-02-25T10:24:42.725114
ART40/24/067,2024-02-25T10:27:07.083376
ART40/24/060,2024-02-25T10:33:06.595067
ART40/24/069,2024-02-25T11:06:42.782419
ART40/24/070,2024-02-25T11:17:53.616742
